2830842	0.00004	0.00004	species	Pseudomonas nanhaiensis
2505979	0.00004	0.00004	species	Pseudomonas viciae
2029986	0.00004	0.00004	species	Shewanella sp. WE21
357794	0.00004	0.00004	species	Psychromonas ingrahamii
2030797	0.00004	0.00004	species	Glaesserella sp. 15-184
85402	0.00004	0.00004	species	Mannheimia granulomatis
40324	0.00004	0.00004	species	Stenotrophomonas maltophilia
1620215	0.00004	0.00004	species	Sulfuricaulis limicola
1470434	0.00004	0.00004	species	Zhongshania aliphaticivorans
101571	0.00004	0.00004	species	Burkholderia ubonensis
1503054	0.00004	0.00004	species	Burkholderia stagnalis
488447	0.00004	0.00004	species	Burkholderia contaminans
488731	0.00004	0.00004	species	Burkholderia seminalis
95485	0.00004	0.00004	species	Burkholderia stabilis
95486	0.00004	0.00004	species	Burkholderia cenocepacia
60550	0.00004	0.00004	species	Burkholderia pyrrocinia
1385591	0.00004	0.00004	species	Burkholderia mayonis
2811789	0.00004	0.00004	species	Burkholderia sp. MS389
2811788	0.00004	0.00004	species	Burkholderia sp. MS455
41899	0.00004	0.00004	species	Burkholderia plantarii
337	0.00004	0.00004	species	Burkholderia glumae
148447	0.00004	0.00004	species	Paraburkholderia phymatum
169430	0.00004	0.00004	species	Paraburkholderia hospita
420953	0.00004	0.00004	species	Paraburkholderia megapolitana
92647	0.00004	0.00004	species	Paraburkholderia tropica
2861782	0.00004	0.00004	species	Paraburkholderia edwinii
2735433	0.00004	0.00004	species	Paraburkholderia sp. PGU16
93220	0.00004	0.00004	species	Pandoraea pnomenusa
518	0.00004	0.00004	species	Bordetella bronchiseptica
511	0.00004	0.00004	species	Alcaligenes faecalis
94132	0.00004	0.00004	species	Ramlibacter tataouinensis
180282	0.00004	0.00004	species	Delftia tsuruhatensis
662548	0.00004	0.00004	species	Variovorax sp. RA8
1593482	0.00004	0.00004	species	Massilia sp. YMA4
2045208	0.00004	0.00004	species	Massilia violaceinigra
2601898	0.00004	0.00004	species	Noviherbaspirillum sp. UKPF54
391953	0.00004	0.00004	species	Aquincola tertiaricarbonis
194963	0.00004	0.00004	species	Sinorhizobium americanum
380	0.00004	0.00004	species	Sinorhizobium fredii
106592	0.00004	0.00004	species	Ensifer adhaerens
879274	0.00004	0.00004	species	Shinella sp. HZN7
2341112	0.00004	0.00004	species	Georhizobium profundi
1125847	0.00004	0.00004	species	Pseudorhizobium banfieldiae
1149953	0.00004	0.00004	species	Brucella sp. 10RB9215
1844051	0.00004	0.00004	species	Brucella sp. 09RB8910
2592625	0.00004	0.00004	species	Brucella sp. 2280
1218315	0.00004	0.00004	species	Brucella inopinata
1404443	0.00004	0.00004	species	Bradyrhizobium sp. 41S5
114615	0.00004	0.00004	species	Bradyrhizobium sp. ORS 278
2898149	0.00004	0.00004	species	Bradyrhizobium sp. A19
376	0.00004	0.00004	species	Bradyrhizobium sp.
1325112	0.00004	0.00004	species	Bradyrhizobium sp. CCBAU 53340
2840469	0.00004	0.00004	species	Bradyrhizobium sp. S2-20-1
1223566	0.00004	0.00004	species	Bradyrhizobium sp. CCGE-LA001
1197460	0.00004	0.00004	species	Bradyrhizobium sp. 6(2017)
2057741	0.00004	0.00004	species	Bradyrhizobium sp. SK17
858423	0.00004	0.00004	species	Bradyrhizobium arachidis
1404411	0.00004	0.00004	species	Bradyrhizobium septentrionale
83637	0.00004	0.00004	species	Bradyrhizobium genosp. L
83627	0.00004	0.00004	species	Bradyrhizobium genosp. B
1325115	0.00004	0.00004	species	Bradyrhizobium guangxiense
